Nazwa kategorii,Ilość bezpośrednich artykułów,Ilość bezpośrednich subkategorii,Ilość subkategorii ,Ilość artykułów,Liczba wersji językowych,Liczba wyświetleń strony kategorii w dniach (01-01-2019 do 01-08-2019),Liczba wyświetleń artykułów 11.08.2019Suma punktów
Danski_povjesničari,1,0,0,1,39,0,1,42
Grčki_nogometni_vratari,5,0,0,5,0,52,0,62
Umjetnički_aktivisti,8,0,0,8,0,53,1,70
Rijeke_u_Lesotu,1,0,0,1,32,62,1,97
Etničke_grupe_Sjeverne_Koreje,1,0,0,1,0,33,1,36
Rijeke_u_Svaziju,1,0,0,1,18,43,0,63
Rijeke_u_Somaliji,4,0,0,4,36,60,0,104
Motorolini_procesori,6,0,0,6,17,68,1,98
Kabužići,5,0,0,5,0,61,1,72
Zadarsko_plemstvo,6,0,0,6,0,92,1,105
Šaš,5,0,0,5,0,34,1,45
Coelophysoidea,5,0,0,5,18,54,0,82
Ronilice,20,0,0,20,14,54,1,109
Venezuelanski_športaši,2,0,0,2,46,61,0,111
Novozelandski_nogometaši,6,0,0,6,52,54,1,119
Batthyány,7,0,0,7,10,81,1,106
Singaleško-maldivski_jezici,2,0,0,2,0,22,0,26
Belgijska_vojna_oprema,6,0,0,6,0,55,2,69
Munichean,1,0,0,1,0,24,0,26
Ornithomimosauria,5,0,0,5,21,48,1,80
Yoruboid_jezici,6,0,0,6,5,38,0,55
Romanički_samostani,6,0,0,6,3,41,1,57
U_izradi,_Gradovi_u_Angoli,19,0,0,19,3,50,1,92
Južnokorejski_pop_glazbeni_sastavi,5,0,0,5,18,103,0,131
Slovenski_kipari,4,0,0,4,14,71,1,94
Nogometni_klubovi_u_Republici_Srpskoj_-_PFS_Semberija-Majevica-Birač_Bijeljina,8,0,0,8,0,31,1,48
Ukrajinski_glazbeni_teoretičari,1,0,0,1,0,12,0,14
Odašiljači_u_Hrvatskoj,5,0,0,5,1,121,1,133
Danski_nogometni_vratari,5,0,0,5,0,65,1,76
Romantičarski_slikari,1,0,0,1,0,51,0,53
Megalosauroidea,5,0,0,5,6,48,0,64
Svjetska_baština_u_Kolumbiji,9,0,0,9,35,72,0,125
Naselja_u_Komoransko-ostrogonskoj_županiji,12,0,0,12,0,44,5,73
Meksički_glazbeni_albumi,12,0,0,12,0,29,1,54
Kolumbijski_departmani,26,0,0,26,52,72,1,177
Ukrajinski_nogometni_treneri,8,0,0,8,37,60,0,113
Rimski_arheološki_lokaliteti_u_Njemačkoj,7,0,0,7,4,48,0,66
Životopisi,_Prelog,8,0,0,8,1,64,5,86
Britanska_sveučilišta,5,0,0,5,71,123,4,208
Data_Digimoni,2,0,0,2,1,29,0,34
The_Bambi_Molesters,10,0,0,10,0,184,1,205
Hrvatsko_-_srpski_odnosi,2,0,0,2,16,90,2,112
Kanadski_povjesničari,1,0,0,1,37,0,0,39
Albumi_Wilca,9,0,0,9,0,36,0,54
Ledolomci,4,0,0,4,37,78,0,123
Srednjoamerički_Indijanci,1,0,0,1,0,39,0,41
Pravoslavlje_u_Ukrajini,13,0,0,13,18,93,2,139
U_izradi,_Islam,11,0,0,11,51,168,73,314
Mostovi_u_Sarajevu,13,0,0,13,7,177,1,211
Albumi_Taylor_Swift,9,0,0,9,33,63,1,115
Salata,4,0,0,4,0,46,1,55
Glazbene_web_stranice,5,0,0,5,36,213,1,260
Antilski_Indijanci,1,0,0,1,1,27,0,30
Naselja_u_Općini_Krško,155,0,0,155,6,55,1,372
Skladbe_Justina_Biebera,5,0,0,5,0,38,0,48
Rijeke_u_Finskoj,2,0,0,2,50,112,0,166
Indijanska_sela,_Keres,1,0,0,1,0,26,0,28
Osječke_gradske_četvrti,6,0,0,6,0,69,2,83
Bizantski_samostani,5,0,0,5,0,38,1,49
Indijanska_sela,_Miwok,2,0,0,2,1,25,0,30
Svjetska_baština_u_Saudijskoj_Arabiji,5,0,0,5,33,54,1,98
Indijanska_sela,_Huichol,1,0,0,1,0,34,0,36
Singlovi_iz_2011.,37,0,0,37,46,57,0,177
Procter_&_Gamble,8,0,0,8,19,99,4,138
Zemljopis_Devona,13,0,0,13,14,53,1,94
Indijanska_sela,_Mahican,2,0,0,2,0,27,1,32
Indijanska_sela,_Zuni,3,0,0,3,0,31,0,37
Indijanska_sela,_Tututni,2,0,0,2,0,34,0,38
Albumi_Nede_Ukraden,25,0,0,25,1,65,1,117
Tlingitski_klanovi,1,0,0,1,0,26,0,28
Crkve_u_Bugarskoj,7,0,0,7,33,61,0,108
Građevine_u_Sofiji,5,0,0,5,21,44,1,76
Indijanska_sela,_Okanagon,1,0,0,1,0,24,0,26
Hyundaijevi_automobili,3,0,0,3,28,188,2,224
Prapovijesni_plamenci,11,0,0,11,0,40,1,63
Indijanska_sela,_Stalo,1,0,0,1,0,21,0,23
Indijanska_sela,_Tequesta,1,0,0,1,0,26,0,28
Indijanska_sela,_Maryland,1,0,0,1,0,38,0,40
Indijanska_sela,_Pennacook,1,0,0,1,0,28,0,30
Turske_serije,22,0,0,22,44,4238,1,4327
Naselja_u_Općini_Kungota,19,0,0,19,5,33,0,76
Naselja_u_Općini_Črnomelj,116,0,0,116,5,33,1,271
Stonoge,5,0,0,5,34,84,6,134
Indijanska_sela,_Diegueño,1,0,0,1,0,22,0,24
Indijanska_sela,_Chowanoc,1,0,0,1,0,22,0,24
Indijanska_sela,_Arizona,1,0,0,1,0,33,0,35
Indijanska_sela,_Hopi,1,0,0,1,0,29,0,31
Indijanska_sela,_Pomo,1,0,0,1,1,33,0,36
Indijanska_sela,_Choctaw,1,0,0,1,0,23,0,25
Drevni_narodi,5,0,0,5,0,163,1,174
Kijini_automobili,5,0,0,5,24,179,0,213
Indijanska_sela,_Potawatomi,2,0,0,2,0,28,0,32
Palaelodidae,4,0,0,4,2,62,0,72
Indijanska_sela,_Takelma,4,0,0,4,0,39,0,47
Indijanska_sela,_Stuwihamuk,1,0,0,1,0,30,0,32
Skladbe_Xzibita,4,0,0,4,5,38,0,51
Indijanska_sela,_Yaquina,1,0,0,1,0,20,0,22
Chasta-Skoton,1,0,0,1,0,45,0,47
Champion_Digimoni,2,0,0,2,1,42,0,47
Naselja_u_Općini_Sodražica,21,0,0,21,4,40,0,86
Naselja_u_Općini_Kočevje,67,0,0,67,4,47,2,187
Naselja_u_Općini_Metlika,59,0,0,59,5,28,1,152
U_izradi,_Gradovi_u_Ekvatorskoj_Gvineji,2,0,0,2,0,22,0,26
Resokrilci,1,0,0,1,0,34,1,37
Argentinski_pjevači,9,0,0,9,56,102,1,177
Dromaeosauridae,12,0,0,12,28,62,0,114
Turski_televizijski_glumci,53,0,0,53,14,271,2,393
Turski_filmski_glumci,33,0,0,33,15,136,2,219
Turski_kazališni_glumci,9,0,0,9,14,53,1,86
Naselja_u_Općini_Novo_Mesto,97,0,0,97,5,42,0,241
Naselja_u_Općini_Trebnje,130,0,0,130,5,110,1,376
Naselja_u_Općini_Mirna,22,0,0,22,3,29,0,76
Kolumbijski_televizijski_glumci,27,0,0,27,13,51,1,119
Prapovijesne_tinamuovke,5,0,0,5,0,36,0,46
Špilje_u_Sloveniji,6,0,0,6,27,290,3,332
Rimokatolička_Crkva_u_Albaniji,6,0,0,6,12,55,1,80
Umeå,10,0,0,10,34,43,0,97
Toharski_jezici,2,0,0,2,2,49,0,55
Subtiaba-Tlapanec_jezici,1,0,0,1,0,26,0,28
Bilijski_jezici,2,0,0,2,0,18,0,22
Zapadnonizinski_tajvanski_jezici,2,0,0,2,0,27,0,31
Hrvatski_fotografi_iz_Bosne_i_Hercegovine,7,0,0,7,0,56,1,71
Kolumbijski_filmski_glumci,7,0,0,7,14,58,1,87
Jamajčanski_glazbeni_sastavi,7,0,0,7,23,51,1,89
Lišajevi,1,0,0,1,46,82,0,130
Poljski_prevoditelji,2,0,0,2,39,83,0,126
Paštunski_jezici,5,0,0,5,0,33,6,49
Meksičke_serije,1,0,0,1,36,139,0,177
Sjeveroistočni_iranski_jezici,1,0,0,1,0,43,3,48
Amstrad,6,0,0,6,10,98,1,121
U_izradi,_Gradovi_u_Norveškoj,21,0,0,21,0,48,1,91
Rocksteady,10,0,0,10,5,35,1,61
Bullom-Kissi_jezici,9,0,0,9,0,23,0,41
Albumi_Christine_Aguilere,12,0,0,12,26,68,1,119
U_izradi,_Povijest_Kine,31,0,0,31,0,52,1,115
Kineski_leksikografi,1,0,0,1,6,24,0,32
Naselja_u_Općini_Beltinci,7,0,0,7,6,31,0,51
Trigonometrijske_funkcije,5,0,0,5,2,75,2,89
Manastiri_u_Bugarskoj,4,0,0,4,27,82,0,117
U_izradi,_Životopisi_Egipat,1,0,0,1,14,62,0,78
Končar,3,0,0,3,0,213,1,220
Tujia_jezici,3,0,0,3,0,21,0,27
Duna-Bogaya_jezici,2,0,0,2,4,34,0,42
Korejski_vladari,6,0,0,6,33,61,0,106
Kineske_princeze,2,0,0,2,12,68,0,84
Bioinformatika,5,0,0,5,59,128,1,198
Limba_jezici,3,0,0,3,0,30,0,36
Gondi-Kui_jezici,4,0,0,4,0,23,0,31
Kineski_brzi_klizači,5,0,0,5,19,55,0,84
Bitke_Američkog_građanskog_rata,9,0,0,9,37,321,3,379
Hrvatska_nogometna_natjecanja_-_sezona_2010./11.,11,0,0,11,0,0,4,26
Serum_Digimoni,3,0,0,3,1,23,0,30
Ultra_Digimoni,7,0,0,7,1,31,0,46
Naselja_u_Općini_Apače,21,0,0,21,5,28,0,75
Naselja_u_Općini_Lendava,22,0,0,22,6,31,0,81
Naselja_u_Općini_Ljutomer,43,0,0,43,4,26,1,117
Lancijini_automobili,10,0,0,10,25,148,5,198
Dvorci_u_Češkoj,10,0,0,10,45,317,1,383
Krivotvorine,8,0,0,8,12,61,2,91
Malekula_jezici_iz_unutrašnjosti,5,0,0,5,0,31,0,41
Drvene_crkve,11,0,0,11,28,57,0,107
Katukina_jezici,3,0,0,3,0,27,0,33
Wogamusin-Chenapian_jezici,2,0,0,2,0,21,0,25
Albanci_u_Srbiji,3,0,0,3,1,63,2,72
Kosovski_glumci,2,0,0,2,15,148,2,169
Federalne_nigerijske_države,1,0,0,1,0,31,0,33
Mixe-Zoque_jezici,1,0,0,1,0,30,0,32
Centralni_bantu_jezici_zone_R,7,0,0,7,1,28,0,43
Naselja_u_Općini_Bistrica_ob_Sotli,10,0,0,10,5,29,0,54
Naselja_u_Općini_Celje,38,0,0,38,9,33,2,120
Naselja_u_Općini_Nazarje,15,0,0,15,4,23,0,57
Naselja_u_Općini_Podčetrtek,26,0,0,26,4,27,0,83
Naselja_u_Općini_Radeče,22,0,0,22,4,26,0,74
Naselja_u_Općini_Rogaška_Slatina,39,0,0,39,6,44,1,129
Naselja_u_Općini_Slovenske_Konjice,56,0,0,56,1,27,0,140
Naselja_u_Općini_Mozirje,8,0,0,8,3,35,1,55
Okrug_Jõgevamaa,8,0,0,8,22,67,1,106
Albumi_Gigija_D\,17,0,0,17,5,0,0,39
Pjesme_Gigija_D\,5,0,0,5,4,0,1,15
Fali_jezici,2,0,0,2,0,27,0,31
Slike_Paula_Gauguina,5,0,0,5,31,164,1,206
Okrug_Pärnumaa,6,0,0,6,24,55,0,91
Neboderi_u_Kini,5,0,0,5,39,69,0,118
Općine_u_Danskoj,99,0,0,99,43,76,1,318
Građevine_u_Irskoj,9,0,0,9,23,101,1,143
Građevine_u_Saudijskoj_Arabiji,12,0,0,12,42,104,2,172
Okrug_Tartumaa,11,0,0,11,23,64,1,110
Digimoni_nepoznatog_tipa,1,0,0,1,1,26,0,29
Okrug_Viljandimaa,15,0,0,15,24,43,0,97
Jezera_u_Estoniji,29,0,0,29,56,92,0,206
Nacionalni_parkovi_Estonije,5,0,0,5,30,100,0,140
Naselja_u_Općini_Šentjur,104,0,0,104,5,43,0,256
Naselja_u_Općini_Šmarje_pri_Jelšah,77,0,0,77,4,39,1,198
Naselja_u_Općini_Šmartno_ob_Paki,9,0,0,9,4,27,0,49
Naselja_u_Općini_Šoštanj,10,0,0,10,4,26,0,50
Naselja_u_Općini_Štore,12,0,0,12,4,25,0,53
Naselja_u_Općini_Velenje,24,0,0,24,5,31,0,84
Naselja_u_Općini_Zreče,27,0,0,27,5,62,0,121
Naselja_u_Općini_Žalec,37,0,0,37,4,33,0,111
Tramvajski_promet_u_Sloveniji,1,0,0,1,5,68,0,75
Prva_hrvatska_malonogometna_liga,26,0,0,26,0,31,2,85
Europske_malonogometne_reprezentacije,12,0,0,12,0,43,0,67
Hrvatski_malonogometni_kup,21,0,0,21,0,31,1,74
Tramvajski_promet_u_Srbiji,5,0,0,5,9,38,3,60
Vjerski_objekti_u_Portugalu,5,0,0,5,23,60,1,94
Venezuelanski_filmski_glumci,1,0,0,1,10,60,0,72
Kineski_glazbeni_teoretičari,1,0,0,1,2,15,0,19
Kineska_mitologija,25,0,0,25,56,126,0,232
Dinastija_Xia,16,0,0,16,22,66,1,121
Albumi_iz_2011.,63,0,0,63,62,61,2,251
Albumi_sastava_Eurythmics,13,0,0,13,12,65,0,103
Albumi_sastava_The_Bastardz,6,0,0,6,0,16,1,29
Etničke_grupe_Afrike,2,0,0,2,73,101,1,179
Jezera_na_Islandu,3,0,0,3,44,96,0,146
Kriptozoolozi,1,0,0,1,9,55,1,67
Normanska_dinastija,13,0,0,13,31,121,1,179
Mnogočetinaši,2,0,0,2,35,68,0,107
Sua_jezici,2,0,0,2,0,19,0,23
Albumi_Matije_Dedića,8,0,0,8,0,27,1,44
Okruzi_Kosova,7,0,0,7,24,56,1,95
Centralni_bantu_jezici_zone_P,5,0,0,5,1,27,1,39
Centralni_bantu_jezici_zone_E,10,0,0,10,1,27,0,48
Centralni_bantu_jezici_zone_L,8,0,0,8,1,19,0,36
Centralni_bantu_jezici_zone_N,7,0,0,7,1,25,0,40
Lanovke,3,0,0,3,54,102,2,164
Starogrčki_gramatičari,5,0,0,5,24,82,1,117
Coxiellaceae,1,0,0,1,0,18,0,20
Španjolski_rukometni_treneri,7,0,0,7,17,53,0,84
Jezici_koji_su_izgubili_status_(Čad),1,0,0,1,0,27,0,29
Kubanski_rukometaši,4,0,0,4,11,40,0,59
Rotkva,4,0,0,4,0,81,1,90
Šumadijske_planine,3,0,0,3,1,30,0,37
Panaks,4,0,0,4,0,33,1,42
Općina_Zrenjanin,21,0,0,21,4,33,1,80
Jezici_koji_su_izgubili_status_(Gvatemala),2,0,0,2,0,21,0,25
Jamajčanski_glazbeni_albumi,28,0,0,28,0,34,0,90
Budući_nogometni_događaji,1,0,0,1,0,36,1,39
Indijski_televizijski_glumci,8,0,0,8,16,60,1,93
Brjestovke,8,0,0,8,60,81,1,158
Prometna_infrastruktura_u_Brazilu,7,0,0,7,9,54,1,78
Reichskommissariati,4,0,0,4,0,45,1,54
Nizozemski_šahisti,2,0,0,2,43,78,0,125
Bodalj,3,0,0,3,14,63,1,84
Naselja_u_Općini_Bled,9,0,0,9,8,24,0,50
Naselja_u_Općini_Bohinj,24,0,0,24,6,26,1,81
Naselja_u_Općini_Cerklje_na_Gorenjskem,30,0,0,30,5,28,0,93
Naselja_u_Općini_Naklo,13,0,0,13,4,25,0,55
Naselja_u_Općini_Preddvor,14,0,0,14,5,29,1,63
Naselja_u_Općini_Šenčur,12,0,0,12,4,26,0,54
Kneževići,6,0,0,6,0,48,2,62
Naselja_u_Općini_Gorje,12,0,0,12,4,24,0,52
Naselja_u_Općini_Kranj,48,0,0,48,5,56,1,158
Breške,16,0,0,16,0,27,0,59
Ivančica,2,0,0,2,0,54,2,60
Kaparovke,4,0,0,4,0,49,2,59
Vodopija,8,0,0,8,0,61,6,83
Dragunja_Donja,4,0,0,4,0,39,0,47
Obodnica_Gornja,4,0,0,4,0,25,0,33
Par_Selo_Gornje,6,0,0,6,0,30,2,44
Sihasapa,1,0,0,1,0,28,0,30
Reumatologija,5,0,0,5,51,104,0,165
Hrvatski_desetobojci,5,0,0,5,1,94,1,106
Građevine_na_Malti,10,0,0,10,27,71,0,118
Povijest_Malte,11,0,0,11,53,79,2,156
Vojna_povijest_2._stoljeća,7,0,0,7,0,60,1,75
Armenski_vladari,6,0,0,6,0,76,1,89
Tri_kraljevstva,28,0,0,28,32,100,2,190
Nogometaši_NAC_Brede,7,0,0,7,29,60,1,104
Partski_vladari,35,0,0,35,37,103,2,212
Španjolski_povjesničari,1,0,0,1,42,0,0,44
Australski_rukometaši,2,0,0,2,13,34,0,51
Kineski_prinčevi,8,0,0,8,10,33,0,59
Banke_u_Hrvatskoj,7,0,0,7,0,91,2,107
Popisi_gospodarskih_subjekata_u_Hrvatskoj,1,0,0,1,1,115,8,126
Anglosaksonske_kraljice,13,0,0,13,6,84,0,116
Likovi_iz_Tisuću_i_jedne_noći,2,0,0,2,0,30,1,35
Športski_objekti_u_Švedskoj,13,0,0,13,0,46,1,73
Rijeke_u_Čadu,3,0,0,3,40,67,0,113
Slijev_jezera_Čada,5,0,0,5,0,31,0,41
Farnavazidi,5,0,0,5,28,71,0,109
Rijeke_u_Azerbajdžanu,4,0,0,4,62,133,0,203
Rijeke_u_Gruziji,6,0,0,6,65,124,0,201
Rijeke_u_Armeniji,4,0,0,4,50,245,0,303
Goračevke,4,0,0,4,39,66,6,119
Bivša_naselja_u_Brodsko-posavskoj_županiji,9,0,0,9,0,36,0,54
U_izradi,_Bivša_naselja_u_Hrvatskoj,17,0,0,17,0,60,1,95
Albumi_sastava_Uma2rmaН,4,0,0,4,1,26,0,35
Štuke,1,0,0,1,0,28,0,30
Češki_filmski_glumci,9,0,0,9,17,66,2,103
Proteales,9,0,0,9,54,61,1,134
Brane_u_Iranu,5,0,0,5,15,47,0,72
Mostovi_u_Iranu,8,0,0,8,23,62,0,101
Sasanidska_arhitektura,8,0,0,8,12,37,1,66
Hrvatski_skakači_u_dalj,7,0,0,7,6,119,1,140
Naselja_u_Općini_Postojna,39,0,0,39,7,33,1,119
Naselja_u_Općini_Ilirska_Bistrica,62,0,0,62,6,34,1,165
Naselja_u_Općini_Pivka,29,0,0,29,6,31,0,95
Wati_jezici,2,0,0,2,0,18,0,22
Porječje_Kobre,2,0,0,2,0,41,0,45
Albumi_sastava_Roxette,18,0,0,18,18,54,0,108
Rimokatolička_Crkva_u_Sloveniji,3,0,0,3,0,32,1,39
Luristan,8,0,0,8,24,44,1,85
Šesnaest_kraljevstava,25,0,0,25,23,75,0,148
Jugoistočni_molučki_jezici,1,0,0,1,0,22,0,24
Ardabilska_pokrajina,19,0,0,19,25,52,0,115
Markazi,6,0,0,6,22,34,0,68
Čahar-Mahal_i_Bahtijari,5,0,0,5,20,45,0,75
Sistan_i_Beludžistan,13,0,0,13,21,54,0,101
Južni_Horasan,7,0,0,7,22,63,0,99
Golestan,7,0,0,7,24,63,1,102
Semnanska_pokrajina,6,0,0,6,26,35,0,73
Ebira-Gade_jezici,1,0,0,1,0,30,0,32
Potou_jezici,1,0,0,1,0,26,0,28
Dinastija_Jin,7,0,0,7,25,56,0,95
Planine_Libanona,1,0,0,1,33,75,0,110
Planine_Sirije,1,0,0,1,37,71,0,110
Kaingang_jezici,1,0,0,1,1,24,0,27
Yuruna_jezici,1,0,0,1,0,32,0,34
Engleske_princeze,17,0,0,17,19,145,0,198
Franačke_kraljice,16,0,0,16,17,60,1,110
Herbertovci,14,0,0,14,9,48,0,85
Kohistanski_jezici,5,0,0,5,0,26,0,36
Šinski_jezici,2,0,0,2,0,35,0,39
Lahnda_jezici,1,0,0,1,0,22,0,24
Pamirski_jezici,3,0,0,3,0,31,0,37
Sačmarice,5,0,0,5,31,140,1,182
Huitoto_jezici,3,0,0,3,0,29,0,35
Bosanskohercegovačka_nogometna_natjecanja_-_sezona_1998./99.,1,0,0,1,0,0,0,2
Hunkpapa,1,0,0,1,0,35,0,37
Pavlinske_crkve_u_Hrvatskoj,3,0,0,3,0,64,1,71
Akvitanske_kraljice,6,0,0,6,3,39,0,54
Murutski_jezici,2,0,0,2,0,32,0,36
Zande_jezici,5,0,0,5,4,37,0,51
Huave_jezici,1,0,0,1,1,30,0,33
Jezera_u_Mongoliji,1,0,0,1,43,94,0,139
Svjetska_baština_u_Mongoliji,5,0,0,5,37,69,0,116
Nukuma_jezici,1,0,0,1,0,31,0,33
Pokrajine_Veneta,7,0,0,7,41,79,1,135
Melodije_Istre_i_Kvarnera,50,0,0,50,0,63,0,163
Jezici_po_abecedi:Dž,1,0,0,1,0,23,0,25
Albumi_sastava_ABBA,21,0,0,21,22,79,1,144
Danao_jezici,1,0,0,1,0,21,0,23
Bosanskohercegovački_odbojkaški_klubovi,5,0,0,5,4,45,0,59
Dhimalski_jezici,1,0,0,1,0,23,0,25
Putovnice_po_državama,139,0,0,139,23,208,1,510
Budistički_vjerski_objekti_u_Kini,10,0,0,10,0,55,0,75
Špilje_Kine,4,0,0,4,0,38,0,46
Južne_i_Sjeverne_dinastije,24,0,0,24,21,64,2,135
Armenske_crkve,12,0,0,12,9,66,1,100
Baagandji_jezici,3,0,0,3,0,24,0,30
Zavarivanje,34,0,0,34,34,218,4,324
Poljski_rukometaši,5,0,0,5,22,65,0,97
Embraer,3,0,0,3,0,56,1,63
Pardofelis,1,0,0,1,0,33,0,35
Stevija,2,0,0,2,0,48,0,52
Oskičko-umbrijski_jezici,1,0,0,1,0,18,0,20
Palavanski_jezici,2,0,0,2,0,29,0,33
Marienberg_jezici,2,0,0,2,0,21,0,25
Njemački_vojni_zrakoplovi,1,0,0,1,0,145,0,147
Urugvajski_veslači,5,0,0,5,14,26,0,50
Balant-Ganja_jezici,3,0,0,3,1,26,0,33
Uršulinke,4,0,0,4,9,61,2,80
Nacionalni_parkovi_u_Kini,20,0,0,20,37,248,1,326
Jezici_koji_su_izgubili_status_(Brunej),1,0,0,1,0,18,0,20
Jezici_koji_su_izgubili_status_(Malezija),1,0,0,1,0,26,0,28
Južnomangyanski_jezici,2,0,0,2,0,18,0,22
Kenyah_jezici,1,0,0,1,0,28,0,30
Građevine_u_Čileu,5,0,0,5,46,82,0,138
Nacionalni_parkovi_u_DR_Kongo,5,0,0,5,29,124,1,164
Svjetska_baština_u_DR_Kongo,5,0,0,5,36,68,1,115
Guugu-Yimidhirr_jezici,1,0,0,1,1,23,0,26
Izraelske_i_judejske_kraljice,4,0,0,4,0,171,6,185
Waka-kabijski_jezici,1,0,0,1,0,17,0,19
U_izradi,_Gradovi_i_naselja_u_Svetom_Tomi_i_Principu,5,0,0,5,0,34,0,44
Obiteljska_stabla,5,0,0,5,27,157,1,195
Nacionalni_parkovi_u_Indiji,7,0,0,7,48,138,0,200
Pulski_biskupi,3,0,0,3,1,108,0,115
Svjetska_baština_u_Senegalu,6,0,0,6,40,67,0,119
Teor-Kur_jezici,3,0,0,3,0,28,0,34
Jezici_koji_su_izgubili_status_(Brazil),1,0,0,1,0,25,0,27
Ekvatorijalni_jezici,1,0,0,1,0,26,0,28
Lenca_jezici,1,0,0,1,3,23,0,28
Južnoandski_jezici,1,0,0,1,0,33,0,35
Časnici_Hrvatske_mornarice_(NDH),6,0,0,6,1,84,2,99
Šampanjske_grofice,3,0,0,3,8,30,0,44
Huon_jezici,7,0,0,7,0,24,0,38
Tuluške_grofice,5,0,0,5,5,41,0,56
Povijest_Salomonskih_Otoka,5,0,0,5,32,47,0,89
Bororo_jezici,1,0,0,1,0,24,0,26
Gorontalo-Mongondow_jezici,3,0,0,3,0,24,0,30
Melanau-Kajang_jezici,1,0,0,1,1,19,0,22
Ornithopoda,23,0,0,23,31,62,1,140
Ibanski_jezici,3,0,0,3,0,33,0,39
Naselja_u_Općini_Benedikt,2,0,0,2,5,20,1,30
Vladarice_u_13._stoljeću,33,0,0,33,6,42,1,115
Aragonske_infante,7,0,0,7,8,42,0,64
Naselja_u_Općini_Vitanje,4,0,0,4,4,37,0,49
Svjetska_baština_u_Omanu,5,0,0,5,32,79,0,121
Čileanski_košarkaši,6,0,0,6,10,54,1,77
Sangirijski_jezici,1,0,0,1,0,23,0,25
Oružane_snage_Saudijske_Arabije,10,0,0,10,29,67,0,116
Metlikovke,3,0,0,3,40,78,0,124
Druga_hrvatska_košarkaška_liga,25,0,0,25,0,45,0,95
Makedonske_kraljice,2,0,0,2,7,43,0,54
Bunarkovke,5,0,0,5,18,60,0,88
Svjetska_baština_u_Libiji,5,0,0,5,44,72,0,126
Austrijski_tenisači,5,0,0,5,0,52,0,62
Svjetska_baština_u_Alžiru,7,0,0,7,46,90,0,150
Havajske_princeze,21,0,0,21,5,72,1,120
Istočni_santo_jezici,1,0,0,1,0,28,0,30
Vjerski_objekti_u_Iranu,9,0,0,9,26,95,1,140
Irski_astronomi,6,0,0,6,41,64,2,119
Tvrtke_iz_Subotice,9,0,0,9,0,59,1,78
Kodiranje,4,0,0,4,55,144,1,208
Singlovi_iz_1986.,1,0,0,1,40,55,0,97
Države_Njemačkog_Carstva,10,0,0,10,25,95,2,142
Finski_hokejaši_na_travi,15,0,0,15,2,42,0,74
Estonski_nogometni_klubovi,9,0,0,9,43,108,0,169
Estonski_nogometni_stadioni,7,0,0,7,20,75,0,109
Finski_nogometaši,5,0,0,5,56,122,0,188
Talijanski_hokejaši_na_travi,15,0,0,15,3,39,0,72
Poljski_hokejaši_na_travi,14,0,0,14,0,32,0,60
SEHA_liga,10,0,0,10,9,57,1,87
Indijanska_sela,_Timucua,1,0,0,1,0,25,0,27
Tekken,9,0,0,9,24,36,0,78
Planine_u_Irskoj,5,0,0,5,28,151,0,189
Gyeongju,5,0,0,5,15,54,0,79
Papajevke,4,0,0,4,46,64,0,118
Švedski_reli-vozači,11,0,0,11,21,62,0,105
Pokusi_iz_fizike,8,0,0,8,39,123,2,180
Hrvatska_nogometna_natjecanja_-_sezona_2011./12.,10,0,0,10,0,0,5,25
Hrvatske_gramatike,4,0,0,4,0,53,0,61
Britanski_tenkovi_u_Prvom_svjetskom_ratu,13,0,0,13,0,118,0,144
Video_igre_za_Commodore_64,7,0,0,7,34,52,0,100
Arheološki_lokaliteti_u_Tajlandu,5,0,0,5,0,31,0,41
Svjetska_baština_u_Tajlandu,9,0,0,9,34,54,0,106
Nogometni_klubovi_u_Sjevernobanatskom_okrugu,5,0,0,5,0,47,1,58
Pet_dinastija_i_Deset_kraljevstava,12,0,0,12,19,52,1,96
Katolički_redovnici,3,0,0,3,31,78,0,115
Penelope,16,0,0,16,0,30,0,62
Alcaligenaceae,1,0,0,1,0,23,0,25
Popisi_računalnih_i_video_igara,2,0,0,2,0,70,0,74
UEFA_Europska_liga_2011./12.,1,0,0,1,13,0,0,15
Aburrria,6,0,0,6,6,38,0,56
21._stoljeće_pr._Kr.,4,0,0,4,45,58,0,111
22._stoljeće_pr._Kr.,4,0,0,4,43,60,0,111
23._stoljeće_pr._Kr.,4,0,0,4,41,51,0,100
24._stoljeće_pr._Kr.,4,0,0,4,41,41,0,90
25._stoljeće_pr._Kr.,4,0,0,4,37,39,0,84
26._stoljeće_pr._Kr.,4,0,0,4,38,47,0,93
27._stoljeće_pr._Kr.,4,0,0,4,37,46,0,91
28._stoljeće_pr._Kr.,4,0,0,4,32,49,0,89
29._stoljeće_pr._Kr.,4,0,0,4,30,52,0,90
30._stoljeće_pr._Kr.,4,0,0,4,30,53,0,91
31._stoljeće_pr._Kr.,2,0,0,2,23,47,0,74
32._stoljeće_pr._Kr.,2,0,0,2,24,44,0,72
33._stoljeće_pr._Kr.,2,0,0,2,15,40,0,59
34._stoljeće_pr._Kr.,2,0,0,2,15,47,0,66
35._stoljeće_pr._Kr.,2,0,0,2,14,43,0,61
36._stoljeće_pr._Kr.,2,0,0,2,14,52,0,70
37._stoljeće_pr._Kr.,2,0,0,2,13,47,0,64
38._stoljeće_pr._Kr.,2,0,0,2,14,51,0,69
39._stoljeće_pr._Kr.,2,0,0,2,14,49,0,67
